(7343, 1456), 1.0
(2286, 7142), 0.9
(2286, 1255), 0.9
(7142, 1255), 1.0
(2286, 1255), 0.9
(2286, 7142), 0.9
(1255, 7142), 1.0
(7406, 1519), 1.0
(1322, 7209), 1.0
(7529, 1642), 1.0
(7209, 1322), 1.0
(1575, 7462), 1.0
(2228, 7082), 1.0
(2228, 1195), 1.0
(680, 0), 0.8
(7082, 1195), 1.0
(1456, 7343), 1.0
(7529, 1642), 1.0
(0, 680), 0.8
(7209, 1322), 1.0
(7142, 2286), 0.9
(7142, 1255), 1.0
(2286, 1255), 0.9
(7278, 1391), 1.0
(7529, 1642), 1.0
(1456, 7343), 1.0
(7278, 1391), 1.0
(1519, 7406), 1.0
(6998, 2175), 1.0
(7462, 1575), 1.0
(7278, 1391), 1.0
(6998, 2175), 1.0
(7406, 1519), 1.0
(1195, 7082), 1.0
(1195, 2228), 1.0
(7082, 2228), 1.0
(1195, 2228), 1.0
(1195, 7082), 1.0
(2228, 7082), 1.0
